北京市,2022B:19352.21;2022A:9413.4;2021D:40269.55;2021C:29638.67;2021B:19147;2021A:8875.82;2020D:35943.25;2020C:25550.58;2020B:16091.04;2020A:7423.19;2019D:35445.13;2019C:25499.84;2019B:16477.85;2019A:7800.52;2018D:33105.97;2018C:23665.71;2018B:15279.69;2018A:7235.42;2017D:28000.35;2017C:19569.76;2017B:12406.79;2017A:6040.48;2016D:24899.26;2016C:17367.77;2016B:11413.83;2016A:5451.89;2015D:22968.59;2015C:16002.35;2015B:10578.28;2015A:4773.46;2014D:21330.83;2014C:14774.06;2014B:9769.32;2014A:4412.95;2013D:19500.6;2013C:13766.18;2013B:9112.79;2013A:4101.23;2012D:17801.02;2012C:12678.14;2012B:8348.59;2012A:3761.52;2011D:16011.43;2011C:11404.26;2011B:7418.07;2011A:3508.97;2010D:13777.94;2010C:9754.36;2010B:6372.62;2010A:3116.99;2009D:11865.93;2009C:8161.44;2009B:5308.43;2009A:2511.88;2008D:10488.03;2008C:7586.27;2008B:4972.8;2008A:2148.34;2007D:9006.23;2007C:6419.78;2007B:4064.26;2007A:1882.78;2006D:7720.33;2006C:5513.18;2006B:3538.02;2006A:1681.56;2005D:6814.53;2005C:3542.04;2005B:2274.45;2005A:1023.87
湖北省,2022B:24502.79;2022A:10804.66;2021D:50012.94;2021C:34598.11;2021B:22681.7;2021A:9828.31;2020D:43004.49;2020C:28704.92;2020B:17257.77;2020A:6196.6;2019D:45428.96;2019C:32682.38;2019B:21119.17;2019A:9997.7;2018D:42021.95;2018C:29862.76;2018B:19242.75;2018A:9139.18;2017D:36522.95;2017C:25076.03;2017B:15871.39;2017A:7254.06;2016D:32297.91;2016C:22198.4;2016B:14114.76;2016A:6456.23;2015D:29550.19;2015C:20423.41;2015B:13104.78;2015A:5487.93;2014D:27367.04;2014C:18874.15;2014B:12061.99;2014A:5137.26;2013D:24668.5;2013C:17099.64;2013B:10949.3;2013A:4699.47;2012D:22250.16;2012C:15390;2012B:9885.4;2012A:4233.88;2011D:19594.19;2011C:13578.42;2011B:8571.47;2011A:3592.36;2010D:15806.09;2010C:11093.96;2010B:6896.65;2010A:2934.37;2009D:12831.52;2009C:8656.84;2009B:5378.05;2009A:2423.15;2008D:11330.38;2008C:7913.49;2008B:4971.92;2008A:2157.72;2007D:9150.01;2007C:6272.22;2007B:3953.61;2007A:1738.46;2006D:7497.17;2006C:5168.05;2006B:3288.34;2006A:1533.66;2005D:6484.5;2005C:5031.86;2005B:3195.59;2005A:1557.2
湖南省,2022B:22933.36;2022A:11058.16;2021D:46063.09;2021C:33094.92;2021B:21575.19;2021A:10178.06;2020D:41542.57;2020C:29500.3;2020B:18867.16;2020A:8767.18;2019D:39894.14;2019C:28700.53;2019B:18546.12;2019A:8779.63;2018D:36329.68;2018C:25880.08;2018B:16827.22;2018A:8113.26;2017D:34590.56;2017C:24492.29;2017B:15275.51;2017A:7051.11;2016D:31244.68;2016C:21771.08;2016B:13613.48;2016A:6318.99;2015D:29047.21;2015C:20250.5;2015B:12800.44;2015A:5392.25;2014D:27048.46;2014C:18531.24;2014B:11975.1;2014A:5042.72;2013D:24501.7;2013C:16913.58;2013B:10921.81;2013A:4658.82;2012D:22154.23;2012C:15339.15;2012B:9909.42;2012A:4218.98;2011D:19635.19;2011C:13625.29;2011B:8762.66;2011A:3646.6;2010D:15902.12;2010C:10583.27;2010B:6805.39;2010A:2956.22;2009D:12930.69;2009C:8382.07;2009B:5350.21;2009A:2409.34;2008D:11156.64;2008C:7694.8;2008B:4911.36;2008A:2170.85;2007D:9145;2007C:6191.82;2007B:3930.28;2007A:1814.43;2006D:7493.17;2006C:5150.34;2006B:3206.2;2006A:1526.93;2005D:6473.61;2005C:4496.8;2005B:2834.32;2005A:1349.57
广东省,2022B:59518.4;2022A:28498.79;2021D:124369.67;2021C:88171.7;2021B:57245.14;2021A:27146.12;2020D:111151.63;2020C:78381.34;2020B:49276.19;2020A:22579.61;2019D:107986.92;2019C:77687.65;2019B:50201.32;2019A:23765.03;2018D:99945.22;2018C:70881.55;2018B:46059.11;2018A:21675.92;2017D:89879.23;2017C:64815.38;2017B:41957.84;2017A:19438.05;2016D:79512.05;2016C:57061.17;2016B:37357.59;2016A:17272.24;2015D:72812.55;2015C:52522.38;2015B:34526.64;2015A:14948.57;2014D:67792.24;2014C:48130.36;2014B:30879.09;2014A:13636.91;2013D:62164;2013C:44471.53;2013B:28465.92;2013A:12612.88;2012D:57067.92;2012C:40685.76;2012B:26200.92;2012A:11510.8;2011D:52673.59;2011C:36953.15;2011B:23421.12;2011A:10549.74;2010D:45472.83;2010C:31542.28;2010B:19668.55;2010A:9128.82;2009D:39081.59;2009C:26418.08;2009B:16538.09;2009A:7687.73;2008D:35696.46;2008C:25299.68;2008B:16018.01;2008A:7194.35;2007D:30673.71;2007C:21489.58;2007B:13544.46;2007A:6125.85;2006D:25968.55;2006C:18153.6;2006B:11416.8;2006A:5206.41;2005D:21701.27;2005C:13981.6;2005B:8902.36;2005A:4089.47
广西壮族自治区,2022B:12294.16;2022A:5914.78;2021D:24740.86;2021C:17971.04;2021B:11757.53;2021A:5522.76;2020D:22120.87;2020C:15913.87;2020B:10162.38;2020A:4659.48;2019D:21237.14;2019C:15278.36;2019B:9872.79;2019A:4673.73;2018D:19627.81;2018C:14843.8;2018B:8900.6;2018A:4327.85;2017D:20396.25;2017C:12757.93;2017B:8179.81;2017A:3909.53;2016D:18245.07;2016C:11345.53;2016B:7311.64;2016A:3480.32;2015D:16803.12;2015C:10430.75;2015B:6769.45;2015A:3226.02;2014D:15672.97;2014C:9792.2;2014B:6327.87;2014A:3014.36;2013D:14378;2013C:9007.22;2013B:5810.18;2013A:2779.39;2012D:13031.04;2012C:8296.01;2012B:5329.54;2012A:2546.72;2011D:11714.35;2011C:7438.04;2011B:4720.1;2011A:2247.86;2010D:9502.39;2010C:6030.17;2010B:3833.21;2010A:1845.81;2009D:7700.36;2009C:5074.18;2009B:3225.75;2009A:1552.38;2008D:7171.58;2008C:4701.51;2008B:3018.37;2008A:1414;2007D:5885.88;2007C:3717.97;2007B:2386.26;2007A:1160.37;2006D:4801.98;2006C:3066.1;2006B:2012.48;2006A:965.3;2005D:4063.25;2005C:2480.82;2005B:1612.25;2005A:770.13
海南省,2022B:3144.63;2022A:1593.94;2021D:6475.2;2021C:4542.28;2021B:2906.92;2021A:1408.45;2020D:5566.24;2020C:3850.46;2020B:2391.2;2020A:1121.19;2019D:5330.84;2019C:3835.1;2019B:2478.22;2019A:1173.17;2018D:4910.69;2018C:3504.3;2018B:2263.69;2018A:1079.71;2017D:4462.54;2017C:3213.68;2017B:2198.23;2017A:1056.39;2016D:4044.51;2016C:2880.88;2016B:2008.95;2016A:944.57;2015D:3702.76;2015C:2643.53;2015B:1808.57;2015A:840.05;2014D:3500.72;2014C:2453.5;2014B:1675.57;2014A:815.05;2013D:3146.5;2013C:2224.57;2013B:1516.69;2013A:734.62;2012D:2855.26;2012C:2026.38;2012B:1370.86;2012A:652.6;2011D:2515.29;2011C:1818.15;2011B:1222.28;2011A:575.53;2010D:2052.12;2010C:1500.42;2010B:1018.19;2010A:479.67;2009D:1646.6;2009C:1129.15;2009B:754.15;2009A:332.41;2008D:1459.23;2008C:1062.75;2008B:707.66;2008A:308.04;2007D:1229.64;2007C:894.89;2007B:575.37;2007A:254.87;2006D:1052.43;2006C:763.74;2006B:491.55;2006A:216.71;2005D:893.14;2005C:615.71;2005B:402.39;2005A:167.74
重庆市,2022B:13511.64;2022A:6398;2021D:27894.02;2021C:19875.23;2021B:12849.03;2021A:5968.31;2020D:25041.43;2020C:17668.58;2020B:11197.23;2020A:4991.28;2019D:23605.77;2019C:16982.4;2019B:10973.93;2019A:5195;2018D:21588.8;2018C:15608.62;2018B:10642.41;2018A:4886.76;2017D:19500.27;2017C:14309.18;2017B:9143.64;2017A:4306.74;2016D:17558.76;2016C:12505.05;2016B:8000.82;2016A:3772.73;2015D:15719.72;2015C:11252.67;2015B:7237.9;2015A:3306.69;2014D:14265.4;2014C:9500.83;2014B:6440.51;2014A:2982.71;2013D:12656.7;2013C:8637.1;2013B:5840.51;2013A:2725.9;2012D:11459;2012C:8158;2012B:5307.19;2012A:2523.87;2011D:10011.13;2011C:7003.73;2011B:4450.37;2011A:2061.11;2010D:7894.24;2010C:5631.67;2010B:3634.61;2010A:1698.85;2009D:6528.72;2009C:3793.38;2009B:2320.47;2009A:1032.2;2008D:5096.66;2008C:3419.56;2008B:2104.76;2008A:963.77;2007D:4111.82;2007C:2757.91;2007B:1677.67;2007A:783.77;2006D:3486.2;2006C:2320.64;2006B:1468.12;2006A:697.22;2005D:3069.1;2005C:2113.89;2005B:1319.22;2005A:639.9
四川省,2022B:26176.47;2022A:12739.24;2021D:53850.79;2021C:38848.84;2021B:25126.05;2021A:11805.96;2020D:48501.64;2020C:34705.86;2020B:22027.18;2020A:10144.22;2019D:46363.75;2019C:33354.88;2019B:21553.74;2019A:10203.42;2018D:42902.1;2018C:30528.77;2018B:19656.13;2018A:9330.61;2017D:36980.22;2017C:27297.19;2017B:16080.33;2017A:7552;2016D:32680.5;2016C:23793.6;2016B:14222.33;2016A:6703.7;2015D:30103.1;2015C:22120.37;2015B:13300.06;2015A:6234.51;2014D:28536.66;2014C:20681.54;2014B:12697.39;2014A:5878.54;2013D:26260.8;2013C:19138.94;2013B:11655.05;2013A:5436.95;2012D:23849.8;2012C:17536.51;2012B:10603.91;2012A:4943.28;2011D:21026.68;2011C:15468.28;2011B:9370.57;2011A:4257.59;2010D:16898.59;2010C:12327.58;2010B:7465.93;2010A:3451.83;2009D:14151.28;2009C:10057.67;2009B:6015.02;2009A:2815.04;2008D:12506.25;2008C:9057.65;2008B:5388.53;2008A:2555.49;2007D:10505.3;2007C:7465.1;2007B:4408.12;2007A:2032.63;2006D:8637.81;2006C:6210.84;2006B:3726.52;2006A:1730.78;2005D:7385.11;2005C:5401.3;2005B:3231.57;2005A:1454.56
贵州省,2022B:9830.44;2022A:4815.49;2021D:19586.42;2021C:13931.79;2021B:9037.23;2021A:4316.98;2020D:17860.41;2020C:12626.94;2020B:7979.37;2020A:3708.04;2019D:16769.34;2019C:12064.15;2019B:7795.79;2019A:3690.48;2018D:15353.21;2018C:10898.91;2018B:7047.95;2018A:3330.22;2017D:13540.83;2017C:9499.53;2017B:5732.35;2017A:2504.83;2016D:11734.43;2016C:8135.38;2016B:4936.61;2016A:2102.97;2015D:10502.56;2015C:7195.58;2015B:4351.07;2015A:1659.39;2014D:9251.01;2014C:6169.53;2014B:3780.31;2014A:1421.15;2013D:8006.8;2013C:5110.66;2013B:3249.85;2013A:1231.86;2012D:6802.2;2012C:4400.08;2012B:2790.88;2012A:1071.25;2011D:5701.84;2011C:3632.96;2011B:2278.06;2011A:849.75;2010D:4593.97;2010C:2960.6;2010B:1855.63;2010A:700.92;2009D:3893.51;2009C:2361.98;2009B:1496.27;2009A:578.22;2008D:3333.4;2008C:2210.27;2008B:1392.4;2008A:499.22;2007D:2710.28;2007C:1810.27;2007B:1165.4;2007A:458.28;2006D:2267.43;2006C:1496.89;2006B:973.56;2006A:389.39;2005D:1942;2005C:1256.68;2005B:794.88;2005A:322.94
云南省,2022B:13464.12;2022A:6465.69;2021D:27146.76;2021C:19532.42;2021B:12686.99;2021A:5931.87;2020D:24555.72;2020C:17498.69;2020B:11115.41;2020A:5110.63;2019D:23223.75;2019C:16707.57;2019B:10796.33;2019A:5110.92;2018D:20880.63;2018C:14966.09;2018B:9589.97;2018A:4584.69;2017D:16531.34;2017C:10646.65;2017B:6447.81;2017A:3115.66;2016D:14869.95;2016C:9536.94;2016B:5806.57;2016A:2764.86;2015D:13717.88;2015C:8897.37;2015B:5417.5;2015A:2613.67;2014D:12814.59;2014C:8212.42;2014B:5010.33;2014A:2454.73;2013D:11720.9;2013C:7545.74;2013B:4640.59;2013A:2260.42;2012D:10309.8;2012C:6700.3;2012B:4165.74;2012A:1991.61;2011D:8750.95;2011C:5772.68;2011B:3603.13;2011A:1739.08;2010D:7220.14;2010C:4805.21;2010B:3037.61;2010A:1490.06;2009D:6168.23;2009C:4090.85;2009B:2510.75;2009A:1219.44;2008D:5700.1;2008C:3885.28;2008B:2451.5;2008A:1056.53;2007D:4721.77;2007C:3201.21;2007B:2009.6;2007A:872.39;2006D:4001.87;2006C:2668.96;2006B:1670.12;2006A:766.1;2005D:3472.34;2005C:2157.85;2005B:1298.45;2005A:653.4
西藏自治区,2022B:973.24;2022A:516.79;2021D:2080.17;2021C:1434.82;2021B:922.15;2021A:473.58;2020D:1902.74;2020C:1303.45;2020B:836.14;2020A:384.26;2019D:1697.82;2019C:1221.44;2019B:789.29;2019A:373.64;2018D:1548.39;2018C:1102.86;2018B:715.51;2018A:344.22;2017D:1310.63;2017C:939.51;2017B:555.41;2017A:271.35;2016D:1150.07;2016C:829.2;2016B:471.96;2016A:238.54;2015D:1026.39;2015C:742.26;2015B:418.98;2015A:200.13;2014D:920.83;2014C:661.56;2014B:369.34;2014A:172.33;2013D:807.7;2013C:575.73;2013B:329.59;2013A:152.87;2012D:695.58;2012C:498.72;2012B:287.21;2012A:132.74;2011D:605.83;2011C:435.4;2011B:250.84;2011A:115.43;2010D:507.46;2010C:354.05;2010B:202.98;2010A:86.73;2009D:441.36;2009C:306.3;2009B:177.72;2009A:79.54;2008D:395.91;2008C:277.32;2008B:161.81;2008A:76.03;2007D:342.19;2007C:246.64;2007B:140.61;2007A:64.1;2006D:290.05;2006C:210.04;2006B:113.35;2006A:55.21;2005D:250.6;2005C:176.79;2005B:94.89;2005A:44.35
陕西省,2022B:15252.34;2022A:7265.41;2021D:29800.98;2021C:21111.75;2021B:13485.53;2021A:6324.25;2020D:26014.14;2020C:18492.85;2020B:11688.13;2020A:5400.39;2019D:25793.17;2019C:18556.05;2019B:11990.81;2019A:5676.39;2018D:23941.88;2018C:17085.6;2018B:11051.47;2018A:5195.39;2017D:21898.81;2017C:15202.11;2017B:9581.1;2017A:4147.22;2016D:19165.39;2016C:12879.97;2016B:8207.85;2016A:3849.22;2015D:18171.86;2015C:12334.66;2015B:7898.36;2015A:3471.91;2014D:17689.94;2014C:11567.42;2014B:7422.65;2014A:3339.16;2013D:16045.2;2013C:10579.43;2013B:6777.73;2013A:3069.41;2012D:14451.18;2012C:9568.34;2012B:6116;2012A:2755.72;2011D:12391.3;2011C:8234.13;2011B:5217.29;2011A:2343.43;2010D:10021.53;2010C:6743.42;2010B:4262.57;2010A:1936.87;2009D:8186.65;2009C:5097.06;2009B:3187.02;2009A:1417.62;2008D:6851.32;2008C:4603.21;2008B:2898.49;2008A:1247.02;2007D:5369.85;2007C:3556.23;2007B:2252.81;2007A:988.66;2006D:4383.91;2006C:2914.97;2006B:1858.12;2006A:857.43;2005D:3674.75;2005C:2253.34;2005B:1440.41;2005A:641.82
甘肃省,2022B:5235.27;2022A:2479.12;2021D:10243.31;2021C:7372.54;2021B:4728.22;2021A:2197.15;2020D:8979.67;2020C:6393.97;2020B:4074.17;2020A:1898.88;2019D:8718.3;2019C:6272.1;2019B:4052.99;2019A:1918.66;2018D:8104.07;2018C:5898.97;2018B:3796.03;2018A:1752.59;2017D:7677;2017C:5641.46;2017B:2993.02;2017A:1388.75;2016D:7152.04;2016C:4769.45;2016B:2720.99;2016A:1235.97;2015D:6790.32;2015C:4630.46;2015B:2612.88;2015A:1129.68;2014D:6835.27;2014C:4430.89;2014B:2491.45;2014A:1098.27;2013D:6268;2013C:4159.55;2013B:2349.57;2013A:1065.38;2012D:5650.2;2012C:3804.28;2012B:2152.47;2012A:1012.95;2011D:5000.47;2011C:3471.4;2011B:1940.65;2011A:883.07;2010D:4119.46;2010C:2816.73;2010B:1565.64;2010A:731.66;2009D:3382.35;2009C:2287.54;2009B:1264.13;2009A:589.13;2008D:3176.11;2008C:2210.14;2008B:1270.62;2008A:605.13;2007D:2699.2;2007C:1792.38;2007B:1049.5;2007A:497.46;2006D:2275;2006C:1530.65;2006B:894.16;2006A:423.43;2005D:1928.14;2005C:1222.34;2005B:683.79;2005A:317.94
青海省,2022B:1688.51;2022A:833.33;2021D:3346.63;2021C:2392.61;2021B:1550.85;2021A:740.54;2020D:3009.81;2020C:2164.87;2020B:1388.83;2020A:652.99;2019D:2941.07;2019C:2115.86;2019B:1367.25;2019A:647.25;2018D:2748;2018C:2008.73;2018B:1289.45;2018A:630.92;2017D:2642.8;2017C:1921.75;2017B:1204.3;2017A:524.01;2016D:2572.49;2016C:1741.38;2016B:1068.98;2016A:456.51;2015D:2417.05;2015C:1633.66;2015B:1011.28;2015A:425.78;2014D:2301.12;2014C:1541.28;2014B:966.47;2014A:388.94;2013D:2101.1;2013C:1432.46;2013B:888.61;2013A:356.81;2012D:1884.54;2012C:1298.93;2012B:797.59;2012A:322;2011D:1634.72;2011C:1130.56;2011B:689.09;2011A:288.14;2010D:1350.43;2010C:929.3;2010B:566.65;2010A:239.76;2009D:1081.27;2009C:703.24;2009B:429.42;2009A:180.69;2008D:961.53;2008C:683.65;2008B:417;2008A:165.03;2007D:760.96;2007C:532.98;2007B:319.97;2007A:134.75;2006D:641.05;2006C:454.42;2006B:275.05;2006A:115.4;2005D:543.2;2005C:388.17;2005B:232.62;2005A:96.09
宁夏回族自治区,2022B:2352.56;2022A:1114.13;2021D:4522.31;2021C:3210.91;2021B:2047.66;2021A:967.26;2020D:3956.34;2020C:2809.41;2020B:1772.51;2020A:812.42;2019D:3748.48;2019C:2696.72;2019B:1742.61;2019A:824.94;2018D:3510.21;2018C:2505.81;2018B:1619.2;2018A:747.94;2017D:3453.93;2017C:2449.57;2017B:1397.61;2017A:588.12;2016D:3150.06;2016C:2120.31;2016B:1203.72;2016A:508.06;2015D:2911.77;2015C:1987.32;2015B:1128.03;2015A:460.64;2014D:2752.1;2014C:1880.27;2014B:1071.94;2014A:442.64;2013D:2565.1;2013C:1757.76;2013B:1008.16;2013A:415.69;2012D:2326.64;2012C:1605.77;2012B:930.52;2012A:385.86;2011D:2060.79;2011C:1442.14;2011B:811.53;2011A:334.99;2010D:1643.41;2010C:1158.3;2010B:655.99;2010A:281.97;2009D:1334.56;2009C:835.55;2009B:475.77;2009A:204.53;2008D:1098.51;2008C:761.23;2008B:446.99;2008A:186.58;2007D:834.16;2007C:574.63;2007B:336.57;2007A:151.42;2006D:706.98;2006C:492.41;2006B:287.86;2006A:131.39;2005D:599.4;2005C:368.69;2005B:210.97;2005A:97.05
新疆维吾尔自治区,2022B:8279.04;2022A:3975.3;2021D:15983.65;2021C:11352.35;2021B:7298.02;2021A:3387.25;2020D:13800.74;2020C:9785.71;2020B:6397.17;2020A:2979.19;2019D:13597.11;2019C:9781.99;2019B:6321.07;2019A:2992.36;2018D:12809.39;2018C:9112.46;2018B:5884.34;2018A:2795.66;2017D:10920.09;2017C:7656.35;2017B:4362.98;2017A:1791.85;2016D:9617.23;2016C:6717.79;2016B:3819.98;2016A:1546.16;2015D:9324.8;2015C:6411.4;2015B:3649.48;2015A:1209.75;2014D:9264.1;2014C:5884.48;2014B:3007.18;2014A:1262.25;2013D:8360.2;2013C:5451.35;2013B:2771.06;2013A:1157.15;2012D:7466.32;2012C:4920.69;2012B:2493.91;2012A:1048.95;2011D:6474.54;2011C:4394.08;2011B:2187.52;2011A:920.5;2010D:5418.81;2010C:3582.76;2010B:1718.06;2010A:744.46;2009D:4273.58;2009C:2824.93;2009B:1321.45;2009A:547.96;2008D:4203.41;2008C:3125.07;2008B:1590.85;2008A:679.76;2007D:3494.42;2007C:2438.54;2007B:1179.71;2007A:519.66;2006D:3018.98;2006C:2181.89;2006B:1052.53;2006A:453.62;2005D:2609.6;2005C:1875.7;2005B:871.9;2005A:361.29
中国,2022B:562642;2022A:270178;2021D:1143670;2021C:823131;2021B:532168;2021A:249310;2020D:1013570;2020C:722786;2020B:456614;2020A:206504;2019D:990865;2019C:697798;2019B:450933;2019A:213433;2018D:919281;2018C:650899;2018B:418961;2018A:198783;2017D:827122;2017C:593288;2017B:381490;2017A:180683;2016D:744127;2016C:529971;2016B:340637;2016A:158526;2015D:676708;2015C:487774;2015B:296868;2015A:140667.2;2014D:636463;2014C:419908;2014B:269044;2014A:128212.7;2013D:588019;2013C:386762;2013B:248009;2013A:118854.82;2012D:519322;2012C:353480;2012B:227905;2012A:108417.9;2011D:473104;2011C:322125;2011B:206369;2011A:97418;2010D:401513;2010C:272627;2010B:174879;2010A:82613.4;2009D:340903;2009C:231303;2009B:148204;2009A:69817;2008D:314045;2008C:217026;2008B:140478;2008A:66284;2007D:265810;2007C:180101;2007B:115999;2007A:54756;2006D:216314;2006C:147341;2006B:95429;2006A:45316;2005D:184937;2005C:126657;2005B:81913;2005A:39117;2004D:159878;2004C:109968;2004B:70405.9;2004A:33420.6;2003D:135823;2003C:93329.3;2003B:59868.9;2003A:28861.8;2002D:120333;2002C:83057;2002B:53341;2002A:25376;2001D:109655;2001C:75818;2001B:48951;2001A:23300;2000D:99215;2000C:68088;2000B:43748;2000A:20647;1999D:89677;1999C:61414;1999B:39555;1999A:18790;1998D:84402;1998C:57595;1998B:37223;1998A:17501;1997D:78973;1997C:54102;1997B:34954;1997A:16257;1996D:71177;1996C:48533;1996B:30862;1996A:14261;1995D:60794;1995C:41503;1995B:25968;1995A:11858;1994D:48198;1994C:32597;1994B:20150;1994A:9065;1993D:35334;1993C:23592;1993B:14544;1993A:6500;1992D:26923;1992C:18451;1992B:11332;1992A:4974
