ULI,LAC,经度,纬度,详细位置描述,基站所在地行政区划号,基站所在地行政区划名称
460-03-857876-50,857867,113.28334,23.06899,ca石溪机楼LTE-BBU105,440105,海珠区
460-03-861699-3,861699,113.28334,23.06899,石溪机楼LTE-BBU010,440105,海珠区
460-01-395173-13,395173,113.2717,23.086918,广州海富花园四期,440105,海珠区
460-01-393978-1,393978,113.272,23.0838,广州海珠南泰,440105,海珠区
460-01-263212-146,263212,113.244875,23.110666,广州西堤码头搬迁,440103,荔湾区
460-01-445955-2,445955,113.2301,23.112521,广州御景壹号B区,440103,荔湾区
460-00-875302-71,875302,113.269355,23.083964,广州西区宝岗大道南DC-ZFH-1,440105,海珠区
460-00-33524-74,33524,113.27151,23.07341,广州西区保利花园DC-ZFH-4,440105,海珠区
460-00-875983-71,875983,113.28137,23.067394,广州西区金碧花园三期DC-ZFH-1,440105,海珠区
460-00-875879-72,875879,113.28641,23.08029,广州西区瑞宝乡DC-ZFH-2,440105,海珠区